Company,date,Volume,VWAP,Open,Close,High,Low,Trades
aapl,02-01-2025,55740731,244.3303,248.93,243.85,249.1,241.8201,685448
aapl,03-01-2025,40244114,243.0805,243.36,243.36,244.18,241.89,493786
aapl,06-01-2025,45045571,245.1726,244.31,245,247.33,243.2,493920
aapl,07-01-2025,40855960,242.9459,242.98,242.21,245.55,241.35,462887
aapl,08-01-2025,37628940,242.2995,241.92,242.7,243.7123,240.05,406916
aapl,10-01-2025,61710856,236.6061,240.01,236.85,240.16,233,685976
aapl,13-01-2025,49630725,232.7529,233.53,234.4,234.67,229.72,561231
aapl,14-01-2025,39435294,233.8731,234.75,233.28,236.12,232.472,436333
aapl,15-01-2025,39831969,237.58,234.635,237.87,238.96,234.43,418804
aapl,16-01-2025,71759052,230.4965,237.35,228.26,238.01,228.03,786112
aapl,17-01-2025,68488301,230.4569,232.115,229.98,232.29,228.48,579302
aapl,21-01-2025,98070429,221.6956,224,222.64,224.42,219.38,1220197
aapl,22-01-2025,64126500,222.8221,219.79,223.83,224.12,219.79,683037
aapl,23-01-2025,60234760,224.1093,224.74,223.66,227.03,222.3,619806
aapl,24-01-2025,54697907,223.1447,224.78,222.78,225.63,221.41,579473
aapl,27-01-2025,94863418,228.8379,224.02,229.86,232.15,223.98,1008209
aapl,28-01-2025,75707569,237.4845,230.85,238.26,240.19,230.81,788818
aapl,29-01-2025,45486100,237.4856,234.12,239.36,239.855,234.01,515214
aapl,30-01-2025,55658279,238.9601,238.665,237.59,240.79,237.21,636380
aapl,31-01-2025,101075128,238.5565,247.19,236,247.19,233.44,936710
aapl,03-02-2025,73063301,228.3039,229.99,228.01,231.83,225.7,851664
aapl,04-02-2025,45067301,231.2105,227.25,232.8,233.13,226.65,497328
aapl,05-02-2025,39664989,230.8247,228.53,232.47,232.67,228.27,445631
aapl,06-02-2025,29925349,232.404,231.285,233.22,233.8,230.425,375401
aapl,07-02-2025,39707224,229.1297,232.6,227.63,234,227.26,488184
aapl,10-02-2025,33115645,228.4505,229.57,227.65,230.585,227.2,398259
aapl,11-02-2025,53718362,232.4502,228.2,232.62,235.23,228.13,552127
aapl,12-02-2025,45243292,235.0413,231.2,236.87,236.96,230.68,486475
aapl,13-02-2025,53614054,240.3233,236.91,241.53,242.3399,235.57,531132
aapl,14-02-2025,40896227,244.0539,241.25,244.6,245.55,240.99,481732
aapl,18-02-2025,48822491,244.1423,244.15,244.47,245.18,241.84,486720
aapl,19-02-2025,32204215,244.6863,244.66,244.87,246.01,243.1604,383453
aapl,20-02-2025,32316907,245.6383,244.94,245.83,246.78,244.29,405771
aapl,21-02-2025,53197431,246.3756,245.95,245.55,248.69,245.22,508398
aapl,24-02-2025,51326396,247.2414,244.925,247.1,248.86,244.42,593130
aapl,25-02-2025,48013272,247.4765,248,247.04,250,244.91,574045
aapl,26-02-2025,44433564,241.6568,244.33,240.36,244.98,239.13,557242
aapl,27-02-2025,41153639,239.4953,239.41,237.3,242.46,237.06,503479
aapl,28-02-2025,56833360,239.5113,236.95,241.84,242.09,230.2,572585
aapl,03-03-2025,47183985,239.9029,241.79,238.03,244.0272,236.112,557039
aapl,04-03-2025,53798062,237.5186,237.705,235.93,240.07,234.68,685400
aapl,05-03-2025,47227643,234.0871,235.42,235.74,236.55,229.23,558645
aapl,06-03-2025,45170419,235.2933,234.435,235.33,237.86,233.1581,551790
aapl,07-03-2025,46273565,238.9038,235.105,239.07,241.37,234.76,581196
aapl,10-03-2025,72071197,227.6311,235.54,227.48,236.16,224.22,1152721
aapl,11-03-2025,76137410,221.1802,223.805,220.84,225.8399,217.45,899698
aapl,12-03-2025,62547467,217.6087,220.14,216.98,221.75,214.91,792931
aapl,13-03-2025,61368330,212.0158,215.95,209.68,216.8394,208.42,768934
aapl,14-03-2025,60107582,212.4529,211.25,213.49,213.95,209.58,668917
aapl,17-03-2025,48073426,213.2536,213.31,214,215.22,209.97,577436
aapl,18-03-2025,42432426,213.0584,214.16,212.69,215.15,211.49,493004
aapl,19-03-2025,54385391,215.5599,214.22,215.24,218.76,213.75,524678
aapl,20-03-2025,48862947,214.3888,213.99,214.1,217.4899,212.22,499769
aapl,21-03-2025,94127768,215.9206,211.56,218.27,218.84,211.28,496948
aapl,24-03-2025,44299483,220.0734,221,220.73,221.48,218.58,495018
aapl,25-03-2025,34493583,223.1154,220.77,223.75,224.1,220.08,407132
aapl,26-03-2025,34532656,222.5222,223.51,221.53,225.02,220.47,440452
aapl,27-03-2025,37094774,223.3729,221.39,223.85,224.99,220.5601,387119
aapl,28-03-2025,39818617,219.3577,221.67,217.9,223.81,217.68,485185
aapl,31-03-2025,65299321,220.6567,217.005,222.13,225.62,216.23,646564
aapl,01-04-2025,36412740,222.3361,219.805,223.19,223.68,218.9,594670
aapl,02-04-2025,35905904,222.4314,221.315,223.89,225.19,221.02,473114
aapl,03-04-2025,103419006,204.1959,205.54,203.19,207.49,201.25,1366640
aapl,04-04-2025,125910913,192.5546,193.89,188.38,199.88,187.34,1716140
aapl,07-04-2025,160466286,180.5634,177.2,181.46,194.15,174.62,2117015
aapl,08-04-2025,120859491,179.0733,186.7,172.42,190.335,169.2101,1671528
aapl,09-04-2025,184395885,187.9539,171.95,198.85,200.61,171.89,2212959
aapl,10-04-2025,121879981,189.982,189.065,190.42,194.7799,183,1500041
aapl,11-04-2025,87435915,195.623,186.1,198.15,199.54,186.06,1073191
aapl,14-04-2025,101352911,205.5914,211.44,202.52,212.94,201.1621,1272714
aapl,15-04-2025,51343872,202.1396,201.855,202.14,203.51,199.8,595846
aapl,16-04-2025,59732423,195.8892,198.36,194.27,200.7,192.37,744249
aapl,17-04-2025,52164675,196.8888,197.2,196.98,198.8335,194.42,537919
aapl,21-04-2025,46742537,192.0767,193.265,193.16,193.8,189.8112,576340
aapl,22-04-2025,52976371,199.2937,196.12,199.74,201.59,195.97,608790
aapl,23-04-2025,52929165,205.3603,206,204.6,208,202.799,664354
aapl,24-04-2025,47310989,207.0889,204.89,208.37,208.8299,202.94,490831
aapl,25-04-2025,38222258,208.3682,206.365,209.28,209.75,206.2,469917
aapl,28-04-2025,38743074,209.6745,210,210.14,211.5,207.46,436969
aapl,29-04-2025,36827633,210.9585,208.693,211.21,212.24,208.37,403524
aapl,30-04-2025,52286454,211.3283,209.3,212.5,213.58,206.6705,501667
aapl,01-05-2025,57365675,211.8686,209.08,213.32,214.56,208.9,712566
aapl,02-05-2025,101010621,204.9131,206.09,205.35,206.99,202.16,1100613
aapl,05-05-2025,69018452,199.7435,203.1,198.89,204.1,198.21,770697
aapl,06-05-2025,51216482,198.8453,198.21,198.51,200.65,197.02,529849
aapl,07-05-2025,68616943,195.9883,199.17,196.25,199.44,193.25,753075
aapl,08-05-2025,50478872,197.7519,197.72,197.49,200.05,194.6796,599001
aapl,09-05-2025,36453923,198.6614,199,198.53,200.5399,197.535,423067
aapl,12-05-2025,63775814,209.7114,210.97,210.79,211.2679,206.75,806841
aapl,13-05-2025,51909332,211.8003,210.43,212.93,213.4,209,608884
aapl,14-05-2025,49325825,212.2847,212.43,212.33,213.94,210.5801,596267
aapl,15-05-2025,45029473,211.308,210.95,211.45,212.96,209.54,550863
aapl,16-05-2025,54737850,211.25,212.36,211.26,212.57,209.77,512788
aapl,19-05-2025,46140527,207.6892,207.91,208.78,209.48,204.26,617742
aapl,20-05-2025,42496635,207.0811,207.67,206.86,208.47,205.03,511393
aapl,21-05-2025,59211774,203.4576,205.17,202.09,207.04,200.71,783994
aapl,22-05-2025,46742407,201.4092,200.71,201.36,202.75,199.7,615608
aapl,23-05-2025,78432918,195.8833,193.665,195.27,197.7,193.46,1035410
aapl,27-05-2025,56288475,199.4808,198.3,200.21,200.74,197.43,710445
aapl,28-05-2025,45339678,200.9086,200.59,200.42,202.73,199.9,549615
aapl,29-05-2025,51477938,200.5388,203.575,199.95,203.81,198.51,652509
aapl,30-05-2025,70819942,199.9641,199.37,200.85,201.96,196.78,605924
aapl,02-06-2025,35423294,201.2063,200.28,201.7,202.13,200.12,501431
aapl,03-06-2025,46381567,202.8132,201.35,203.27,203.77,200.955,519820
aapl,04-06-2025,43603985,203.6276,202.91,202.82,206.24,202.1,568214
aapl,05-06-2025,55221235,201.838,203.5,200.63,204.75,200.15,637645
aapl,06-06-2025,46607693,204.0682,203,203.92,205.7,202.05,556357
aapl,09-06-2025,72862557,202.5405,204.39,201.45,206,200.02,860118
aapl,10-06-2025,54672608,202.5339,200.6,202.67,204.35,200.57,611323
aapl,11-06-2025,60989857,200.4652,203.5,198.78,204.5,198.41,770310
aapl,12-06-2025,43904635,198.7007,199.08,199.2,199.68,197.3601,541843
aapl,13-06-2025,51447349,197.0361,199.73,196.45,200.37,195.7,716210
aapl,16-06-2025,43020691,197.8895,197.3,198.42,198.685,196.5636,568354
aapl,17-06-2025,38856152,196.4948,197.2,195.64,198.39,195.21,522902
aapl,18-06-2025,45394689,196.4448,195.94,196.58,197.57,195.07,520881
aapl,20-06-2025,96813542,199.8096,198.235,201,201.7,196.855,680915
aapl,23-06-2025,55814272,201.1824,201.625,201.5,202.3,198.96,618980
aapl,24-06-2025,54064033,201.4391,202.59,200.3,203.44,200.2,666917
aapl,25-06-2025,39525730,201.7923,201.45,201.56,203.67,200.6201,514978
aapl,26-06-2025,50799121,200.6328,201.43,201,202.64,199.46,622887
aapl,27-06-2025,73188571,201.4224,201.89,201.08,203.22,200,596078
aapl,30-06-2025,91912816,203.3565,202.01,205.17,207.39,199.2607,914593
aapl,01-07-2025,78788867,208.176,206.665,207.82,210.1865,206.1401,970491
aapl,02-07-2025,67941811,211.7489,208.91,212.44,213.34,208.14,798402
aapl,03-07-2025,34955836,213.5582,212.145,213.55,214.65,211.8101,432780
aapl,07-07-2025,50228984,211.1605,212.68,209.95,216.23,208.8,670324
aapl,08-07-2025,42848928,209.9116,210.1,210.01,211.43,208.45,512140
aapl,09-07-2025,48749367,209.5626,209.53,211.14,211.33,207.22,590796
aapl,10-07-2025,44443635,212.2489,210.505,212.41,213.48,210.03,545131
aapl,11-07-2025,39765812,211.0285,210.565,211.16,212.13,209.86,431665
aapl,14-07-2025,38840111,208.7627,209.925,208.62,210.91,207.54,525534
aapl,15-07-2025,42296339,210.0604,209.22,209.11,211.89,208.92,526311
aapl,16-07-2025,47490532,210.3633,210.295,210.16,212.4,208.64,535850
aapl,17-07-2025,48068141,210.5606,210.57,210.02,211.8,209.59,574972
aapl,18-07-2025,48974591,210.8567,210.87,211.18,211.79,209.7045,478858
aapl,21-07-2025,51377434,213.3495,212.1,212.48,215.78,211.63,651657
aapl,22-07-2025,46404072,213.6492,213.14,214.4,214.95,212.2301,549182
aapl,23-07-2025,46989301,213.7982,215,214.15,215.15,212.41,497904
aapl,24-07-2025,46022620,214.3924,213.9,213.76,215.69,213.53,505013
aapl,25-07-2025,40268781,214.1284,214.7,213.88,215.24,213.4,409972
aapl,28-07-2025,37858017,214.04,214.03,214.05,214.845,213.06,425354
aapl,29-07-2025,51411723,212.1244,214.175,211.27,214.81,210.82,537963
aapl,30-07-2025,45512514,209.5067,211.895,209.05,212.39,207.72,542351
aapl,31-07-2025,80698431,208.9948,208.49,207.57,209.84,207.16,827514
